,word,frequency,per_million,doc_freq,doc_percentage
880,fearful,25,8.761852157,23,0.277576635
882,stressful,25,8.761852157,24,0.289645185
883,colombian,25,8.761852157,17,0.20516533899999997
884,crippling,25,8.761852157,24,0.289645185
885,preventive,25,8.761852157,23,0.277576635
887,intact,25,8.761852157,19,0.229302438
888,tricky,25,8.761852157,25,0.301713734
889,distant,25,8.761852157,24,0.289645185
890,hesitant,25,8.761852157,21,0.253439537
891,tribal,25,8.761852157,20,0.24137098699999998
892,rebel,25,8.761852157,20,0.24137098699999998
893,supportive,25,8.761852157,25,0.301713734
894,flexible,25,8.761852157,24,0.289645185
896,atomic,25,8.761852157,16,0.19309679
898,civic,24,8.411378071,20,0.24137098699999998
902,evident,24,8.411378071,23,0.277576635
904,spectacular,24,8.411378071,23,0.277576635
905,reliant,24,8.411378071,21,0.253439537
906,stringent,24,8.411378071,22,0.26550808600000003
908,profound,24,8.411378071,21,0.253439537
909,14th,24,8.411378071,24,0.289645185
910,voluntary,24,8.411378071,24,0.289645185
911,provocative,24,8.411378071,20,0.24137098699999998
912,worrying,24,8.411378071,23,0.277576635
913,aerial,24,8.411378071,20,0.24137098699999998
914,disposable,24,8.411378071,17,0.20516533899999997
915,ministerial,24,8.411378071,23,0.277576635
916,governmental,24,8.411378071,23,0.277576635
918,influential,23,8.060903985,22,0.26550808600000003
919,disastrous,23,8.060903985,23,0.277576635
920,defiant,23,8.060903985,23,0.277576635
922,convinced,23,8.060903985,23,0.277576635
923,exceptional,23,8.060903985,22,0.26550808600000003
924,gabby,23,8.060903985,10,0.120685494
925,sustained,23,8.060903985,22,0.26550808600000003
926,continued,23,8.060903985,23,0.277576635
927,considerable,23,8.060903985,23,0.277576635
928,alert,23,8.060903985,21,0.253439537
929,cooperative,23,8.060903985,21,0.253439537
930,exempt,23,8.060903985,21,0.253439537
934,precautionary,23,8.060903985,20,0.24137098699999998
935,outrageous,22,7.710429899,20,0.24137098699999998
938,partisan,22,7.710429899,19,0.229302438
940,loved,22,7.710429899,21,0.253439537
941,prior,22,7.710429899,21,0.253439537
