,word,frequency,per_million,doc_freq,doc_percentage
4254,loot,11,3.8552149492618666,6.0,0.0724112961622013
4255,communist,11,3.8552149492618666,9.0,0.10861694424330197
4256,bashir,11,3.8552149492618666,7.0,0.0844798455225682
4257,misconception,11,3.8552149492618666,8.0,0.09654839488293508
4258,organizing,11,3.8552149492618666,10.0,0.12068549360366886
4259,quran,11,3.8552149492618666,9.0,0.10861694424330197
4262,vet,11,3.8552149492618666,8.0,0.09654839488293508
4265,messenger,11,3.8552149492618666,9.0,0.10861694424330197
4266,taliban,11,3.8552149492618666,9.0,0.10861694424330197
4268,silva,11,3.8552149492618666,10.0,0.12068549360366886
4270,buffer,11,3.8552149492618666,7.0,0.0844798455225682
4272,sofia,11,3.8552149492618666,8.0,0.09654839488293508
4276,interceptor,11,3.8552149492618666,8.0,0.09654839488293508
4277,quebec,11,3.8552149492618666,9.0,0.10861694424330197
4278,logic,11,3.8552149492618666,11.0,0.13275404296403573
4282,ce,11,3.8552149492618666,9.0,0.10861694424330197
4283,robotic,11,3.8552149492618666,7.0,0.0844798455225682
4285,conjunction,11,3.8552149492618666,9.0,0.10861694424330197
4288,nickel,11,3.8552149492618666,5.0,0.060342746801834414
4289,sophie,11,3.8552149492618666,9.0,0.10861694424330197
4290,sussex,11,3.8552149492618666,4.0,0.04827419744146754
4296,turbine,11,3.8552149492618666,7.0,0.0844798455225682
4299,variation,11,3.8552149492618666,8.0,0.09654839488293508
4301,conversion,11,3.8552149492618666,8.0,0.09654839488293508
4302,common,11,3.8552149492618666,10.0,0.12068549360366886
4303,stunt,11,3.8552149492618666,9.0,0.10861694424330197
4304,ptsd,11,3.8552149492618666,8.0,0.09654839488293508
4306,wta,11,3.8552149492618666,5.0,0.060342746801834414
4307,pie,11,3.8552149492618666,6.0,0.0724112961622013
4308,ndp,11,3.8552149492618666,8.0,0.09654839488293508
4309,abbotsford,11,3.8552149492618666,11.0,0.13275404296403573
4310,mori,11,3.8552149492618666,6.0,0.0724112961622013
4311,bakery,11,3.8552149492618666,8.0,0.09654839488293508
